Group;Name 
Photosynthesis;lambda_max
Water;emax
Structure;reprfrac
Nitrogen;nfix_a
Nitrogen;nfix_b
Nitrogen;nrelocfrac
Structure;turnover_root
Mortality;distinterval
Structure;crownarea_max
Structure;k_allom2
Structure;k_rp
Mortality;longevity
Structure;leaflong
Mortality;fireresist
Water;gmin
Structure;sla
Establishment;est_max
Structure;turnover_sap
Establishment;alphar
Photosynthesis;respcoeff
Photosynthesis;pstemp_low
Photosynthesis;pstemp_high
Mortality;greff_min
Structure;k_latosa
Mortality;cutinterval
Mortality;thinning_intensity
Mortality;drought_tolerance 
Establishment;parff_min
Structure;k_chillb
Establishment;gdd5min_est 
Establishment;tcmin_est
Establishment;tcmax_est
